No,t ,+
1,450,
2,460,+
3,1150,
4,1150,
5,1560,+
6,1600,
7,1660,+
8,1850,+
9,1850,+
10,1850,+
11,1850,+
12,1850,+
13,2030,+
14,2030,+
15,2030,+
16,2070,
17,2070,
18,2080,
19,2200,+
20,3000,+
21,3000,+
22,3000,+
23,3000,+
24,3100,
25,3200,+
26,3450,
27,3750,+
28,3750,+
29,4150,+
30,4150,+
31,4150,+
32,4150,+
33,4300,+
34,4300,+
35,4300,+
36,4300,+
37,4600,
38,4850,+
39,4850,+
40,4850,+
41,4850,+
42,5000,+
43,5000,+
44,5000,+
45,6100,
46,6100,+
47,6100,+
48,6100,+
49,6300,+
50,6450,+
51,6450,+
52,6700,+
53,7450,+
54,7800,+
55,7800,+
56,8100,+
57,8100,+
58,8200,+
59,8500,+
60,8500,+
61,8500,+
62,8750,
63,8750,+
64,8750,+
65,9400,+
66,9900,+
67,10100,+
68,10100,+
69,10100,+
70,11500,+
